epoch,lr,train_loss_step_mean,loss_reg,loss_kl_raw,loss_kl,kl_weight,val_loss,val_acc,val_nlpd,val_ece
21,0.09879583809693737,0.1392968322085862,0.0005138839086711333,405137.71875,0.000522300077136606,1.2891914191419142e-09,0.8101472843308846,0.7681770324707031,0.8084092140197754,0.030085565522313118
22,0.09867894514365802,0.1279631326399227,0.0005671811937861661,425359.9375,0.0005757889011874795,1.35365099009901e-09,0.8074717271692258,0.7713382244110107,0.8057421445846558,0.028811853379011154
23,0.09855671399548181,0.11687765904877445,0.0006216589221961354,444264.0,0.0006300154491327703,1.4181105610561057e-09,0.8010292116030501,0.7718651294708252,0.7992680668830872,0.031451981514692307
24,0.09842915805643157,0.10728286752606382,0.0006768842213925453,462086.09375,0.0006850750651210546,1.4825701320132012e-09,0.7955918403772207,0.7760800719261169,0.793856680393219,0.029494957998394966
25,0.09829629131445343,0.09960599472322086,0.0007329978144469459,479138.90625,0.0007412421400658786,1.5470297029702971e-09,0.7887371327527833,0.7776606678962708,0.7869920134544373,0.028636891394853592
26,0.09815812833988292,0.0927744365417131,0.0007897554412668589,495041.125,0.0007977534551173449,1.6114892739273928e-09,0.7856784928334902,0.7766069769859314,0.7838927507400513,0.029256287962198257
27,0.09801468428384717,0.08723133588486379,0.0008467932261692563,509904.1875,0.0008545733289793134,1.6759488448844885e-09,0.781182614719403,0.7808219194412231,0.7794604301452637,0.02570592425763607
28,0.09786597487660338,0.08167397371023008,0.0009039994703817854,523717.5625,0.0009114824351854622,1.7404084158415842e-09,0.7754745052536621,0.7834562659263611,0.7737122178077698,0.027129147201776505
29,0.09771201642581387,0.07765713754561868,0.0009613161172376632,536644.4375,0.0009685723925940692,1.80486798679868e-09,0.7712638807748969,0.7876712083816528,0.7696205377578735,0.026426227763295174
30,0.09755282581475772,0.07376989899295391,0.0010188843992695506,548878.625,0.0010260340059176087,1.8693275577557755e-09,0.7682513885427702,0.7876712083816528,0.7666229009628296,0.020382177084684372
31,0.09738842050047931,0.07091072710728881,0.0010765903228248405,560264.625,0.0010834324639290571,1.9337871287128714e-09,0.7656520696786734,0.7892518639564514,0.7639570236206055,0.019976472482085228
32,0.09721881851187408,0.06760010174890556,0.0011343897255783034,571035.8125,0.0011410703882575035,1.998246699669967e-09,0.7634779350523954,0.7881981134414673,0.7617706656455994,0.022890865802764893
33,0.0970440384477113,0.06510041750008518,0.0011924632287833212,581305.875,0.0011990632629022002,2.062706270627063e-09,0.7629140136867479,0.7908324599266052,0.7612263560295105,0.02371610328555107
